Century,Word Diversity,Number of Words,Average Word Length,Number of Adjectives,Number of Adpositions,Number of Adverbs,Number of Conjunctions,Number of Determiners,Number of Nouns,Number of Numerals,Number of Particles,Number of Pronouns,Number of Verbs
16,0.58,750,4.309333333333333,0.12,0.10266666666666667,0.072,0.04533333333333334,0.09866666666666667,0.29733333333333334,0.0026666666666666666,0.030666666666666665,0.08133333333333333,0.148,
16,0.6741214057507987,313,4.389776357827476,0.10862619808306709,0.11501597444089456,0.03514376996805112,0.06389776357827476,0.10862619808306709,0.3003194888178914,0.0,0.025559105431309903,0.04792332268370607,0.19488817891373802,
16,0.629695885509839,559,4.47227191413238,0.08050089445438283,0.09302325581395349,0.06618962432915922,0.08228980322003578,0.09660107334525939,0.2701252236135957,0.0,0.028622540250447227,0.059033989266547404,0.22361359570661896,
16,0.6985294117647058,136,3.9338235294117645,0.0661764705882353,0.11029411764705882,0.0661764705882353,0.08823529411764706,0.1323529411764706,0.22794117647058823,0.0,0.014705882352941176,0.10294117647058823,0.19117647058823528,
16,0.6575342465753424,219,4.041095890410959,0.0867579908675799,0.1232876712328767,0.0821917808219178,0.0410958904109589,0.1187214611872146,0.2785388127853881,0.0,0.0273972602739726,0.0547945205479452,0.1872146118721461,
16,0.5377176015473888,517,4.373307543520309,0.06963249516441006,0.09864603481624758,0.059961315280464215,0.0735009671179884,0.12959381044487428,0.2862669245647969,0.0,0.02321083172147002,0.0735009671179884,0.18568665377176016,
16,0.6678082191780822,292,4.078767123287672,0.11301369863013698,0.08561643835616438,0.0547945205479452,0.06506849315068493,0.07534246575342465,0.2636986301369863,0.0,0.0410958904109589,0.06164383561643835,0.2363013698630137,
16,0.6506410256410257,312,4.330128205128205,0.08653846153846154,0.09294871794871795,0.09294871794871795,0.0673076923076923,0.07371794871794872,0.24358974358974358,0.009615384615384616,0.02564102564102564,0.13782051282051283,0.16987179487179488,
16,0.7924528301886793,53,4.018867924528302,0.07547169811320754,0.09433962264150944,0.03773584905660377,0.07547169811320754,0.11320754716981132,0.24528301886792453,0.0,0.07547169811320754,0.07547169811320754,0.20754716981132076,
16,0.6180904522613065,398,4.3291457286432165,0.10301507537688442,0.11306532663316583,0.052763819095477386,0.032663316582914576,0.10552763819095477,0.2537688442211055,0.0,0.01256281407035176,0.11557788944723618,0.20854271356783918,
16,0.7636363636363637,110,4.836363636363636,0.11818181818181818,0.09090909090909091,0.07272727272727272,0.05454545454545454,0.11818181818181818,0.2636363636363636,0.0,0.00909090909090909,0.045454545454545456,0.22727272727272727,
16,0.7575757575757576,99,4.03030303030303,0.08080808080808081,0.15151515151515152,0.06060606060606061,0.08080808080808081,0.08080808080808081,0.2828282828282828,0.0,0.0,0.08080808080808081,0.18181818181818182,
